account_number,transaction_datetime,transaction_amount,post_date,merchant_number,merchant_description,merchant_category_code,transaction_number
25087,04092021 09:31:55,71.79,4102021,7.20E+14,OLD NAVY US 7817       OLATHE        PA,5651,4
26045,04052021 12:23:51,5.72,4062021,8029844381,250 CLEANERS           COLUMBIA     HIUS,7216,4
34882,04052021 08:14:30,25,4062021,4.45E+11,CASH APP*ANTHONY*AD    4153753176    CA,4829,4
28064,04052021 17:02:34,3.7,4062021,3.90E+11,USA*FIVE STAR FOOD VEN KNOXVILLE     NJ,5814,4
17593,04052021 18:14:52,15.11,4072021,1.12E+14,APPLE.COM/BILL         866-712-7753  CA,5735,4
54722,03122021 07:33:49,5.91,3132021,4.45E+12,TST* THE PIT ROOM      SAN JOSE       CA,5812,4
54891,03122021 07:33:49,150.73,3132021,4.45E+12,"Best Buy		Sioux Falls      SD",5812,4
54992,03122021 07:33:49,10.73,3132021,4.45E+12,"Taco Bell		Baltimore       MD",5812,4
54999,03122021 07:33:49,5.91,3132021,4.45E+12,TST* THE PIT ROOM      Kulpsville       PA,5812,4
33555,03122021 07:33:49,150.73,3132021,4.45E+12,"Best Buy		Middle Island       NY",5812,4
37222,03122021 07:33:49,45.73,3132021,4.45E+12,"SHELL OIL		Los Angeles       CA",5812,4
26522,12222020 12:01:40,1.06,12232020,3.27E+14,MAVERIK #488           DRAPER        LA,5541,5
31938,01022021 21:26:09,4.73,1042021,1026716,SMITHS MR 1550 E. 3500 LEHI           MI,5411,5
31094,01072021 09:46:56,31.94,1092021,4.45E+12,TST* SIPHON COFFEE     HOUSTON       NJ,5812,5
11111,01212021 12:28:59,14,1232021,21668538000,LA TAPATIA MEXICAN CAF HOUSTON       TX,5812,5
53111,01212021 12:28:59,14,1232021,21668538000,LA TAPATIA MEXICAN CAF Hamilton       OH,5812,5
53222,01212021 12:28:59,14,1232021,21668538000,LA TAPATIA MEXICAN CAF Ashland       OH,5812,5
54566,01212021 12:28:59,8,1232021,21668538000,Starbucks       IL,5812,5
18393,01032021 15:19:09,8.88,1052021,48201409991,Wal-Mart Store         HOUSTON        AK,5310,5
37466,01032021 14:12:07,11.6,1052021,4.45E+12,TST* SIPHON COFFEE     HOUSTON       OH,5812,5
22222,01212021 12:28:59,14,1232021,21668538000,LA TAPATIA MEXICAN CAF Los Angeles       CA,5812,5
38829,01082021 17:50:47,8.98,1092021,9.44E+14,PANDA EXPRESS 1527     HOUSTON       OH,5814,5
43991,01212021 12:28:59,14,1232021,21668538000,LA TAPATIA MEXICAN CAF Brighton       MI,5812,5
44891,01212021 12:28:59,14,1232021,21668538000,LA TAPATIA MEXICAN CAF Bridgeport       NJ,5812,5
46762,01212021 12:28:59,15,1232021,21668538000,Burger King       AK,5812,5
25643,01022021 16:09:29,2.59,1042021,5.98E+12,CHICK-FIL-A #01284     PEARLAND      IL,5814,5
32628,01052021 06:54:37,22.08,1062021,5.17E+14,EXXONMOBIL    48314918 SPRING        CA,5542,5
18054,01152021 08:11:48,8.25,1162021,4.69E+11,KOLACHE FACTORY-MEMQPS HOUSTON       SD,5814,5
28226,01052021 12:05:20,12.92,1072021,2.25E+11,CHAPULTEPEC LUPITA     HOUSTON       PA,5812,5
33333,01212021 12:28:59,525,1232021,21668538000,McDonalds New York       NY,5812,5
37226,01132021 16:39:40,5.68,1152021,1.95E+14,QT 476                 PHOENIX       NY,5541,5
19485,01172021 12:22:55,16.65,1182021,7.85E+14,Amazon.com*374359M83   Amzn.com/bill CA,5942,5
33945,01212021 14:50:22,7.46,1232021,4.45E+12,DOLLAR GENERAL #21249  BERGENFIELD   OH,5331,5
14829,02062021 17:28:09,34,2082021,4.45E+12,ALDO US #2905          ELIZABETH     TX,5661,5
22824,02082021 12:28:06,15.39,2102021,879688,CENTRAL MARKET         HOUSTON        AZ,5411,5
31452,01252021 09:56:25,20.85,1262021,8.39E+14,CHEVRON 0374409        PEARLAND      TN,5542,5
26856,01292021 17:04:43,12.86,2012021,5.10E+14,HARVEST NATURAL MARKET SPRING        WI,5411,5
26607,01212021 13:37:51,40.94,1222021,2.31E+14,CHEVRON 0095418        IRVINE        MI,5542,5
36717,02102021 12:48:50,137.83,2112021,98783,H-E-B #675             PEARLAND     ILUS,5411,5
33717,02102021 15:23:52,33,2122021,8.79E+12,BLUE STAR BARBERSHOP   COLUMBUS      CA,7298,5
14281,03072021 13:01:17,44.5,3082021,7.20E+14,SHOPRITE MONTGOMERY S1 MONTGOMERY    TX,5411,5
28658,02052021 15:39:38,75,2062021,3.96E+11,SSP*DESMOINESFILMSOCIE 515-9888447   NY,8398,5
30881,01312021 13:58:52,7.82,2022021,4.60E+14,TOM THUMB #1973        UNIVERSITY PA NJ,5411,5
15482,01292021 18:21:19,0.97,1302021,4.45E+12,KOHL'S 0588            SUNSET VALLEY KS,5311,5
27014,03272021 11:20:13,33.76,3292021,11873810,BIG LOTS  825 W CENTER GARLAND        NY,5310,5
34454,02212021 16:27:12,14,2222021,9.66E+14,FUEL DEPOT #12         CLEVELAND     TX,5542,5
20759,01302021 11:21:27,18.36,2012021,4.45E+12,LA MADELEINE #014      DALLAS        NM,5812,5
32922,02132021 14:59:46,37.82,2142021,90930008001,NORDSTROM #0380 7055 EASCOTTSDALE   NJUS,5311,5
17079,02142021 11:03:33,43.58,2162021,4.60E+14,SAFEWAY #1879          MILPITAS      NJ,5411,5
26603,02132021 12:44:57,13.25,2152021,7.20E+14,JACK IN THE BOX 3481   NEWARK        NY,5814,5
20669,02142021 11:42:01,35.69,2152021,350099,FOODTOWN 208           DEER PARK    LAUS,5411,5
22965,04012021 13:20:04,150,4022021,5.56E+14,FLIRT SPA AND BROW BAR MANHASSET     NY,7298,5
24029,03122021 12:01:08,14.62,3132021,3.00E+11,THE UPS STORE #5781    MCKINNEY     CAUS,7399,5
31488,03192021 16:13:11,21.8,3222021,3.45E+11,NYC TAXI 1246 12460010 LONG ISLAND C TX,4121,5
31593,03212021 16:16:37,75,3232021,4.45E+12,242 PUB & GRILL - CONR CONROE        KS,5812,5
38206,03252021 16:55:32,30.05,3262021,5.20E+14,JOSE PEPPERS AT THE LE KANSAS CITY   AK,5812,5
32104,03182021 11:42:57,15.6,3192021,2.43E+14,SQ *NW 23RD PINE STATE gosq.com      MA,5814,5
20565,03202021 06:58:34,27.1,3222021,3.27E+14,WALLSTREETST2576       HOUSTON       WI,5994,5
36620,03242021 11:49:36,2.93,3252021,48201095998,WAL-MART #1095         GLENWOOD SPRI NY,5310,5
30483,03242021 14:17:11,2.76,3252021,3.13E+11,MARKET@WORK 2067379149 RENTON        SC,5814,5
15971,03252021 12:56:53,33.28,3262021,3.72E+11,AMAZON.COM*C13PK4RS3 A AMZN.COM/BILL PA,5942,5
25770,03202021 09:58:05,43.11,3222021,1.75E+14,LOWES #00674*          CHANDLER      NJ,5200,5
17504,03232021 08:52:53,10.05,3252021,3.69E+14,TACO BELL #032685      WOODLYN       CA,5814,5
33653,03252021 08:57:39,450,3262021,2.43E+14,SQ *ROBERT ABBOTT TAX  Martinez      RI,8999,5
30808,03242021 09:17:35,16.25,3252021,2.43E+14,SQ *OWL LIQUORS        Santa Fe      RI,5812,5
37096,03222021 10:43:53,14.86,3242021,900000573,WM SUPERC Wal-Mart Sup LEE'S SUMMIT   NJ,5411,5
32407,03182021 16:25:42,7,3202021,20511838000,TWENTY FOUR SEVEN CONV CLIFTON       CO,5499,5
18230,03292021 05:16:17,1.08,3302021,3.95E+14,MCDONALD'S F1739       KINGSPORT     WI,5814,5
23800,03222021 07:25:51,33.49,3262021,3.96E+11,SHOPHQ *148417819      800-6765523   MD,5964,5
22969,04092021 08:45:01,8.17,4092021,4.56E+11,BURGER KING #2182  Q07 PHILADELPHIA  NC,5814,5
28440,03312021 19:23:37,8.39,4022021,77010577,CVS/PHARM 10577--475 E AMERICAN FORK  IL,5912,5
21152,03282021 19:23:59,8.85,3292021,48202713995,WAL-MART #2713         BIRMINGHAM    NJ,5411,5
27348,04082021 15:40:12,9.74,4092021,12754T22,WALGREENS STORE 7869 VECOLUMBUS     NMUS,5912,5
32489,04042021 01:25:24,10.87,4052021,2.35E+14,AMZN Mktp US*UN3UE66I3 Amzn.com/bill TX,5942,5
21455,04072021 10:43:11,2.75,4082021,3.50E+14,MTA*NYCT PAYGO         NEW YORK      PA,4111,5
17538,04072021 09:37:48,6.04,4082021,8027784068,AMC SCC CHOICES CAFE   ALBANY        CA,5499,5
15041,03302021 15:14:13,14.07,3312021,4.45E+12,CVS/PHARMACY #06765    CROFTON       AK,5912,5
17777,04032021 10:08:55,26,4042021,951358,SHELL SERVICE STATION  AURORA       CAUS,5541,5
24124,04082021 18:09:07,55.89,4102021,559290,MCDONALD'S F114        ROWLEY         WY,5814,5
24732,04032021 10:46:43,18,4052021,1.88E+14,SQ *BRIOSO COFFEE      Columbus      VA,5814,5
17032,04012021 01:10:45,5.32,4022021,18777015,GOOGLE*KABAM GAMES     INTERNET      MN,5817,5
31815,04052021 05:41:31,6.01,4062021,8.25E+11,REVELATOR 3RD AVE      BIRMINGHAM    NC,5814,5
27486,04012021 15:28:10,10.78,4032021,7.98E+13,CAPTAIN D S #3738      770-4821945   OR,5814,5
14328,04092021 19:04:14,59.99,4102021,4.45E+12,PIZZA MY HEART - 41ST  CAPITOLA      WI,5812,5
29455,04062021 09:51:50,42.39,4072021,369002001,MAURICE'S #20 MAURICES_SIOUX FALLS  PAUS,5621,5
32307,04052021 02:19:49,10.96,4062021,1.82E+14,TEXACO 0384550         PASS CHRISTIA CA,5541,5
36836,04042021 12:22:26,38.99,4052021,48205028995,WAL-MART #5028         TOLEDO        NY,5411,5
30340,04022021 15:48:00,25,4032021,4.45E+11,CASH APP*DARRELL JA    4153753176    HI,4829,5
24616,04042021 15:22:53,179.92,4062021,2.66E+11,AL BIERNAT'S           DALLAS        CO,5812,5
30772,03312021 09:51:44,3.76,4012021,6.55E+14,MCDONALD'S F2032       SAN DIEGO     NJ,5814,5
22782,04012021 11:38:36,7.73,4022021,5.05E+14,MCDONALD'S F7245       PLANT CITY    MA,5814,5
19505,04092021 18:08:41,65.23,4102021,4.46E+11,OKLAHOMANATURALGAS     8006645463    IL,4900,5
36827,04012021 13:28:20,17.93,4022021,1VKWOGBF44BU45L,DOORDASH*MCDONALDS     SAN FRANCISCO TX,5812,5
38256,04102021 12:17:58,25.22,4112021,576366,SPROUTS FARMERS MKT #15CHANDLER     OHUS,5411,5
23427,03312021 20:10:31,1.25,4012021,4941145,MARK VEND CO           NORTHBROOK    WI,5814,5
39184,03302021 03:22:06,5.03,3312021,9.00E+11,R R SUPERETTE CI       DOUGLASVILLE CAUS,5541,5
20908,04012021 15:50:58,17.87,4022021,8035927329,MDW GENES BISTRO 69014 CHICAGO       NJ,5814,5
26669,03302021 16:44:22,2.26,3312021,257469,SHELL SERVICE STATION  GRAPEVINE    OHUS,5541,5
16841,04072021 15:59:27,3.67,4092021,4.56E+11,BURGER KING #7414  Q07 LAS VEGAS     NY,5814,5
28382,04012021 15:11:32,21.39,4022021,1088186000,YOUNG CHOW LOO         BURLINGTON    AZ,5812,5
13868,04022021 06:55:16,9.6,4032021,5.72E+14,MCDONALD'S F38594      LEXINGTON     IN,5814,5
26995,03312021 09:56:57,3.7,4022021,900000105,WM SUPERC Wal-Mart Sup CORINTH        NY,5411,5
33452,04052021 10:30:54,5.89,4062021,4.45E+12,TST* JAMBA JUICE - 136 CHULA VISTA   NJ,5812,5
16068,03312021 15:03:13,12.89,4022021,2.35E+14,AMZN Mktp US*8X0LJ4BE3 Amzn.com/bill NY,5942,5
26045,04052021 12:31:42,3.56,4072021,447498,LOWES FOODS #27        COLUMBIA       HI,5411,5
34882,04052021 08:15:13,4.75,4072021,1,SQC*<Cash Out        > San Francisco  CA,6536,5
28064,04052021 19:01:48,2.2,4062021,3.90E+11,USA*FIVE STAR FOOD VEN KNOXVILLE     NJ,5814,5
54722,01212021 12:28:59,14,1232021,21668538000,LA TAPATIA MEXICAN CAF SAN JOSE       CA,5812,5
54891,01212021 12:28:59,14,1232021,21668538000,LA TAPATIA MEXICAN CAF Sioux Falls      SD,5812,5
54992,01212021 12:28:59,8.3,1232021,21668538000,Taco Bell Baltimore       MD,5812,5
54999,01212021 12:28:59,14,1232021,21668538000,LA TAPATIA MEXICAN CAF Kulpsville       PA,5812,5
33555,01212021 12:28:59,14,1232021,21668538000,LA TAPATIA MEXICAN CAF Middle Island       NY,5812,5
37222,01212021 12:28:59,125,1232021,21668538000,SHELL OIL Los Angeles       CA,5812,5
26522,12222020 14:31:41,2.26,12232020,4.50E+12,7 ELEVEN 36336         LEHI         LAUS,5541,6
31938,01202021 13:46:16,6.2,1212021,5.27E+14,Etsy.com - GoldenDotLa Brooklyn      MI,5699,6
11111,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS          HOUSTON       TX,5499,6
31094,01072021 19:40:35,11.69,1082021,8.39E+14,CHEVRON 0374409        PEARLAND      NJ,5542,6
53111,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS          Hamilton       OH,5499,6
53222,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS          Ashland       OH,5499,6
54566,02272021 15:27:57,7.85,3012021,2355702,Starbucks          Chicago       IL,5499,6
18393,01202021 13:25:28,10,1272021,21668538000,LA TAPATIA MEXICAN CAF HOUSTON       AK,5812,6
37466,01042021 08:47:18,19.13,1052021,5.39E+13,SQ *BLACK HOLE COFFEE  Houston       OH,5814,6
38829,01112021 07:45:56,7.5,1122021,2.43E+14,SQ *DELICIAS MAYA      HOUSTON       OH,5814,6
22222,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS          Los Angeles       CA,5499,6
43991,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS          Brighton       MI,5499,6
44891,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS          Bridgeport       NJ,5499,6
46762,02272021 15:27:57,7.85,3012021,2355702,Burger King          Anchorage       AK,5499,6
25643,01042021 08:04:19,6.04,1052021,2.43E+14,SQ *PEARLAND COFFEE RO gosq.com      IL,5814,6
32628,01052021 12:07:13,11,1072021,2.25E+11,CHAPULTEPEC LUPITA     HOUSTON       CA,5812,6
18054,01172021 11:27:33,14.27,1192021,2.97E+14,NEW KATY HALAL MEAT    HOUSTON       SD,5411,6
28226,01062021 12:12:19,10.82,1072021,4.45E+12,LUIGIS PIZZERIA - TX   HOUSTON       PA,5812,6
33333,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS          New York       NY,5499,6
37226,01142021 10:01:59,3.23,1152021,1.47E+14,PANERA BREAD #601908 P SCOTTSDALE    NY,5814,6
19485,01172021 21:51:33,9.24,1192021,3.72E+11,AMAZON.COM*6L1RD60V3 A AMZN.COM/BILL CA,5942,6
33945,01262021 06:15:36,68.03,1272021,7.20E+14,SHOPRITE PARAMUS S1    PARAMUS       OH,5411,6
14829,02062021 17:44:26,11.32,2082021,3.28E+14,DUNKIN #354037 Q35     ELIZABETH     TX,5814,6
22824,03062021 13:45:04,21.68,3082021,3.72E+11,CHEESECAKE SUGAR LAND  SUGAR LAND    AZ,5812,6
31452,01252021 17:21:43,68.15,1262021,5.39E+13,SQ *BROOKE'S BOUTIQUE  Pearland      TN,5399,6
26856,01302021 12:33:41,7.72,2012021,4.45E+12,TARGET        00028654 SPRING        WI,5310,6
26607,01212021 13:48:18,12.62,1222021,2.43E+14,SQ *PORTSIDE FISH CO   Long Beach    MI,5811,6
36717,02112021 10:45:56,8.23,2132021,3.61E+14,ALDI 78034             PEARLAND      IL,5411,6
33717,02102021 15:54:07,1.89,2112021,2.67E+11,SUNOCO                 WESTERVILLE   CA,5541,6
14281,03182021 16:49:25,149.8,3192021,8.79E+12,ENO TERRA              KINGSTON      TX,5812,6
30881,02012021 10:23:53,7,2032021,5.26E+14,METRO EXPRESS CARWASH  DALLAS        NJ,7542,6
15482,01292021 20:02:25,20.24,1302021,7.20E+14,R& B'S STEAK AND FRIES AUSTIN        KS,5812,6
27014,04082021 05:53:58,14.25,4092021,4.45E+12,WALGREENS #3822        MESQUITE      NY,5912,6
20759,01302021 16:41:28,48.57,2012021,7.39E+11,POGOS WINE AND SPIRITS DALLAS         NM,5921,6
32922,02142021 12:26:00,141.46,2152021,432998,SPROUTS FARMERS MARKET SCOTTSDALE   NJUS,5411,6
17079,02142021 11:29:00,25.7,2162021,549116,RITE AID 05992         SAN JOSE       NJ,5912,6
26603,02132021 19:36:50,127.8,2152021,4.46E+11,DOORDASH*BJS RESTAURAN 6506819470    NY,5812,6
22965,04022021 10:04:33,102.54,4032021,3.14E+14,MADEWELL #285          MANHASSET     NY,5999,6
24029,03122021 13:50:17,15.13,3132021,3.28E+11,ACADEMY SPORTS #140    MC KINNEY    CAUS,5941,6
31488,03272021 16:00:20,6.72,3292021,90548862,DAILY MARKET           NEW YORK      TX,5499,6
31593,03232021 08:42:12,16.52,3242021,4.45E+12,WENDY'S 79             HOUSTON       KS,5814,6
38206,03262021 14:25:43,4.88,3272021,4.45E+12,LITTLE CAESARS 3474-00 GLADSTONE     AK,5814,6
32104,03192021 13:16:56,6.99,3202021,3.96E+11,DISNEYPLUS             888-9057888   MA,4899,6
20565,03202021 17:20:59,4,3222021,3.00E+14,PU PARKING FACILITIES  WEST LAFAYETT WI,8220,6
30483,03262021 08:35:52,2.1,3292021,8239207,USCONNECT EVRGN VEND N SEATTLE       SC,5814,6
15971,03252021 14:46:15,9.84,3262021,2.35E+14,AMZN Mktp US*OT7UK4JO3 Amzn.com/bill PA,5942,6
25770,03202021 15:17:44,63.32,3222021,7.20E+13,CHARLESTON S 60        MESA          NJ,5812,6
17504,03242021 11:51:34,4.35,3252021,4.45E+12,WENDY'S #3078          MANTUA        CA,5814,6
33653,03272021 18:26:59,43.69,3292021,7.20E+14,PET FOOD EXPRESS 3070  MARTINEZ      RI,5995,6
30808,03242021 12:25:37,30.36,3262021,5.10E+14,CG CORRIGAN            PLACITAS      RI,5999,6
37096,03242021 14:18:21,9.14,3252021,4.45E+12,WM SUPERCENTER #2857   KANSAS CITY   NJ,5411,6
32407,03182021 16:47:05,19,3202021,20511838000,TWENTY FOUR SEVEN CONV CLIFTON       CO,5499,6
28440,04012021 19:50:56,9.18,4022021,8036067836,CARLS JR 1101339       AMERICAN FORK IL,5814,6
21152,04092021 07:36:40,7.96,4102021,2.43E+14,SQ *THE LOKOMOTIVE     Jupiter       NJ,5814,6
32489,04072021 13:59:20,2,4082021,8.00E+14,PUBLIC WORKS-PRKG METR DENVER        TX,7523,6
21455,04072021 11:20:33,2.75,4082021,3.50E+14,MTA*NYCT PAYGO         NEW YORK      PA,4111,6
15041,04022021 11:39:54,2.25,4032021,5.43E+14,GIFT SHOP 4NJ18        PENNSGROVE    AK,5947,6
24124,04092021 10:05:27,42.5,4102021,9.58E+11,CARMELITE GIFT SHOP    PEABODY       WY,5947,6
24732,04052021 09:19:13,7.3,4062021,8030346368,SHERATON COLUMBUS AT C COLUMBUS      VA,5812,6
17032,04022021 10:01:10,5.32,4032021,18777015,GOOGLE*KABAM GAMES     INTERNET      MN,5818,6
31815,04052021 09:40:41,14.55,4062021,4.83E+11,ONO POKE               BIRMINGHAM    NC,5814,6
27486,04012021 22:13:59,34.2,4022021,9OU6XXQRUGJT0HP,BLUEAPRON* ORDER       NEW YORK CITY OR,5499,6
32307,04072021 06:28:40,4.78,4092021,112134,ROBINWOOD ONE S        SAUCIER        CA,5541,6
36836,04042021 12:52:42,24.61,4062021,155674028,KROGER #9 2555 GLENDAL TOLEDO         NY,5411,6
30340,04042021 14:10:57,45,4052021,A0000000000957O,FIRSTACCESS844-529-569 8445295691    HI,6012,6
30772,03312021 11:28:56,30.24,4022021,ARCO42067001,ARCO #42067            SAN DIEGO      NJ,5541,6
22782,04032021 10:03:03,5,4052021,9.50E+13,NFCU MEMBERSHIP FEE    888-8426328   MA,6012,6
36827,04012021 18:49:55,25.48,4022021,1VKWOGBF44BU45L,DOORDASH*POPEYES       SAN FRANCISCO TX,5812,6
23427,03312021 20:11:51,1,4012021,4941145,MARK VEND CO           NORTHBROOK    WI,5814,6
39184,03302021 03:24:39,2.18,3312021,9.00E+11,R R SUPERETTE CI       DOUGLASVILLE CAUS,5541,6
20908,04012021 19:41:24,3.5,4032021,3.45E+11,MARTA TVM     00000018 ATLANTA       NJ,4111,6
26669,03302021 16:52:46,7.84,3312021,11274894,BARTLEYS BBQ           GRAPEVINE     OH,5812,6
16841,04082021 15:14:00,7.58,4102021,7.20E+14,JACK IN THE BOX 7215   LAS VEGAS     NY,5814,6
28382,04012021 16:06:14,16.85,4022021,5.43E+14,SHOVEL SHOP SPIRITS    NORTH EASTON  AZ,5921,6
26995,03312021 12:38:48,13.06,4012021,5.27E+14,Subway 4289            Corinth       NY,5814,6
33452,04052021 10:32:16,4.55,4062021,4.45E+12,TST* JAMBA JUICE - 136 CHULA VISTA   NJ,5812,6
16068,03312021 15:37:10,46.81,4022021,8.20E+14,GRUB BURGER BAR        JACKSONVILLE  NY,5812,6
26045,04092021 12:58:13,30,4102021,4.00E+14,FRANK  S CAR WASH-FORE COLUMBIA      HI,7542,6
34882,04052021 08:45:46,8.75,4062021,3.45E+11,CHIPOTLE ONLINE        1800244768    CA,5814,6
28064,04062021 11:58:35,2.1,4072021,3.90E+11,USA*FIVE STAR FOOD VEN KNOXVILLE     NJ,5814,6
54722,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS          SAN JOSE       CA,5499,6
54891,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS          Sioux Falls      SD,5499,6
54992,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS          Baltimore       MD,5499,6
54999,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS          Kulpsville       PA,5499,6
33555,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS          Middle Island       NY,5499,6
37222,02092021 11:15:52,14,2112021,2.25E+11,CHAPULTEPEC LUPITA     Atlanta       GA,5812,6
26522,12242020 09:55:34,1.23,12242020,06125490015N9F,MACEY'S LEHI           LEHI          LA,5411,7
31938,01252021 16:36:39,0.5,1262021,8032325303,COCA COLA DRAPER UT    DRAPER        MI,5814,7
11111,01122021 09:25:52,1.49,1122021,6.50E+14,COINMACH HOUSTON       HOUSTON       TX,7211,7
31094,01082021 10:29:24,15.38,1112021,3.67E+11,PASHA RESTAURANT       HOUSTON       NJ,5812,7
53111,01122021 09:25:52,1.49,1122021,6.50E+14,COINMACH Hamilton       Hamilton       OH,7211,7
53222,01122021 09:25:52,1.49,1122021,6.50E+14,COINMACH Ashland       Ashland       OH,7211,7
18393,01272021 13:08:29,8.12,1282021,5.39E+13,SQ *OUI BANH MI        Houston       AK,5814,7
37466,01052021 08:58:12,9.39,1062021,5.39E+13,SQ *BLACK HOLE COFFEE  Houston       OH,5814,7
38829,01122021 09:25:52,1.49,1122021,6.50E+14,COINMACH HOUSTON       HOUSTON       OH,7211,7
22222,01122021 09:25:52,1.49,1122021,6.50E+14,COINMACH Los Angeles       Los Angeles       CA,7211,7
43991,01122021 09:25:52,1.49,1122021,6.50E+14,COINMACH BRIGHTON       Brighton       MI,7211,7
44891,01122021 09:25:52,1.49,1122021,6.50E+14,COINMACH Bridgeport       Bridgeport       NJ,7211,7
25643,01042021 11:49:06,7.83,1062021,5.64E+14,CHICK-FIL-A #01801     CHICAGO       IL,5814,7
32628,01052021 16:00:35,51.75,1062021,1.74E+11,PAYPAL *CR0187885      4029357733    CA,4829,7
18054,01202021 12:43:49,21.92,1212021,4.45E+12,TST* THE PIT ROOM      HOUSTON       SD,5812,7
28226,01072021 08:25:07,6.14,1082021,5.39E+13,SQ *BLACK HOLE COFFEE  Houston       PA,5814,7
37226,01142021 10:25:52,269.04,1162021,1.12E+14,APPLE.COM/US           800-676-2775  NY,5732,7
19485,01202021 08:55:37,35,1212021,1.74E+11,PAYPAL *NESPRESSOUS    8005621465    CA,5999,7
33945,01312021 08:22:38,94.24,2012021,7.20E+14,SHOPRITE PARAMUS S1    PARAMUS       OH,5411,7
14829,02072021 18:13:14,17.42,2092021,5.30E+14,EL NUEVO BOHIO 2       BRONX         TX,5814,7
31452,01292021 15:31:56,210,1302021,1.88E+14,SQ *STUDIO LUX         Pearland      TN,7230,7
26856,02142021 10:20:05,9.9,2162021,67107028938,THE HOME DEPOT #2389   SPRING        WI,5200,7
26607,01222021 10:07:41,4.75,1232021,8.00E+14,PEET'S #04403          NEWPORT BEACH MI,5814,7
36717,02112021 12:20:57,62.07,2122021,9.88E+13,H-E-B #675             PEARLAND      IL,5411,7
33717,02112021 15:21:41,26.82,2122021,1.47E+14,PANERA BREAD #204787 P MANSFIELD     CA,5814,7
14281,03182021 17:16:52,20.67,3192021,7.20E+14,SHOPRITE MONTGOMERY S1 MONTGOMERY    TX,5411,7
30881,02032021 10:39:07,48.7,2052021,5.32E+14,NOT JUST SOCCER (NEW)  DALLAS        NJ,5941,7
15482,01302021 11:26:05,237.07,2022021,3.50E+11,WALMART.COM AX         8009666546    KS,5310,7
20759,01312021 07:36:56,4.06,2012021,11000035001,STARBUCKS STORE 6222   DALLAS        NM,5814,7
32922,02142021 13:30:56,257.05,2152021,90930008001,NORDSTROM #0380 7055 EASCOTTSDALE   NJUS,5311,7
17079,02142021 12:11:09,87.2,2152021,67107011884,THE HOME DEPOT #6636   FREMONT      NJUS,5200,7
26603,02142021 12:54:29,33.49,2162021,8.70E+14,DENNY'S #9524          FREMONT       NY,5812,7
22965,04032021 14:07:08,123.45,4052021,5.43E+14,UNCL GIUSEPPE S PRT WA PORT WASHINGT NY,5411,7
24029,03132021 12:27:21,134.18,3142021,3.28E+11,ACADEMY SPORTS #140    MC KINNEY    CAUS,5941,7
31593,03232021 14:18:39,50,3252021,5.04E+14,RITESTOP               HOUSTON       KS,5542,7
38206,04012021 12:34:20,6.5,4022021,4.45E+12,LITTLE CAESARS 3474-00 GLADSTONE     AK,5814,7
32104,03202021 14:48:02,8,3222021,UNNDQGLDNIBNBUM,DRIFTGOODS             KAYSVILLE     MA,5691,7
20565,03202021 17:55:07,16.53,3222021,2.43E+14,SQ *KUNGFU TEA PURDUE  West Lafayett WI,5814,7
15971,03252021 14:46:31,16.4,3272021,3.72E+11,AMZN MKTP US*2W3LK4IZ3 AMZN.COM/BILL PA,5942,7
25770,03202021 16:35:04,59.57,3222021,7.20E+13,CHARLESTON S 60        MESA          NJ,5812,7
17504,03262021 10:46:45,10.08,3272021,4.45E+12,WENDY'S #3099          PHILADELPHIA  CA,5814,7
33653,03282021 01:57:14,36.31,3292021,2.35E+14,AMZN Mktp US*5A2UI1RD3 Amzn.com/bill RI,5942,7
30808,03252021 15:46:07,43.25,3272021,EFT,EFT                    Santa Fe       RI,6011,7
32407,03192021 17:49:04,6.37,3202021,8.21E+14,MCDONALD'S F5687       PASSAIC       CO,5814,7
28440,04022021 16:17:36,9.5,4032021,4532092,BETOS MEXICAN FOOD     AMERICAN FORK IL,5812,7
21152,04092021 08:17:21,24.24,4102021,1.75E+11,LOWE'S #1720           LAKE PARK    NJUS,5200,7
32489,04092021 16:46:39,43.29,4102021,A0000000000BH54,GREYSTONE LIQUOR       AUSTIN        TX,5499,7
21455,04082021 09:17:56,2.75,4092021,3.50E+14,MTA*NYCT PAYGO         NEW YORK      PA,4111,7
15041,04022021 13:32:50,14,4052021,9.84E+11,J&BMP CORP             NORTH BERGEN  AK,5399,7
24732,04062021 09:31:20,7.4,4072021,8030346368,SHERATON COLUMBUS AT C COLUMBUS      VA,5812,7
17032,04032021 01:18:31,5.32,4052021,18777015,GOOGLE*KABAM GAMES     INTERNET      MN,5817,7
